"","year","source","n","prop"
"1",2016,"Original",95,0.357142857142857
"2",2015,"Original",81,0.352173913043478
"3",2018,"Manga",81,0.320158102766798
"4",2017,"Original",78,0.308300395256917
"5",2016,"Manga",70,0.263157894736842
"6",2017,"Manga",65,0.256916996047431
"7",2014,"Manga",64,0.309178743961353
"8",2015,"Manga",58,0.252173913043478
"9",2008,"Manga",56,0.411764705882353
"10",2018,"Original",56,0.221343873517787
"11",2006,"Manga",54,0.388489208633094
"12",2014,"Original",54,0.260869565217391
"13",2012,"Manga",53,0.325153374233129
"14",2011,"Manga",51,0.364285714285714
"15",2013,"Manga",51,0.3
"16",2009,"Manga",48,0.345323741007194
"17",2004,"Manga",45,0.454545454545455
"18",2007,"Manga",43,0.338582677165354
"19",2012,"Original",43,0.263803680981595
"20",2011,"Original",40,0.285714285714286
"21",2013,"Original",39,0.229411764705882
"22",2005,"Manga",38,0.436781609195402
"23",2010,"Manga",38,0.336283185840708
"24",2008,"Original",37,0.272058823529412
"25",2003,"Manga",36,0.507042253521127
"26",2002,"Manga",35,0.492957746478873
"27",2006,"Original",35,0.251798561151079
"28",2004,"Original",34,0.343434343434343
"29",2007,"Original",33,0.259842519685039
"30",2010,"Original",32,0.283185840707965
"31",2009,"Original",31,0.223021582733813
"32",2018,"Game",30,0.118577075098814
"33",2001,"Manga",27,0.391304347826087
"34",2013,"Light novel",27,0.158823529411765
"35",1998,"Manga",25,0.446428571428571
"36",2005,"Original",25,0.28735632183908
"37",2014,"Light novel",25,0.120772946859903
"38",2002,"Original",23,0.323943661971831
"39",2015,"Light novel",23,0.1
"40",2017,"Light novel",23,0.0909090909090909
"41",1998,"Original",22,0.392857142857143
"42",1999,"Manga",22,0.354838709677419
"43",2012,"Light novel",22,0.134969325153374
"44",1999,"Original",21,0.338709677419355
"45",2001,"Original",21,0.304347826086957
"46",2018,"Light novel",21,0.08300395256917
"47",1997,"Manga",20,0.555555555555556
"48",2003,"Original",20,0.28169014084507
"49",2016,"Game",20,0.075187969924812
"50",2017,"Game",20,0.0790513833992095
"51",2011,"Light novel",19,0.135714285714286
"52",1996,"Manga",18,0.620689655172414
"53",2000,"Original",18,0.418604651162791
"54",2009,"Light novel",18,0.129496402877698
"55",2014,"4-koma manga",18,0.0869565217391304
"56",2018,"Web manga",18,0.0711462450592885
"57",2006,"Visual novel",17,0.122302158273381
"58",2014,"Game",17,0.0821256038647343
"59",2000,"Manga",16,0.372093023255814
"60",2010,"Light novel",16,0.141592920353982
"61",2016,"Web manga",16,0.0601503759398496
"62",1994,"Manga",15,0.652173913043478
"63",2008,"Light novel",15,0.110294117647059
"64",2015,"4-koma manga",15,0.0652173913043478
"65",2016,"Light novel",15,0.056390977443609
"66",1984,"Original",14,0.518518518518518
"67",1995,"Manga",14,0.5
"68",2006,"Light novel",14,0.100719424460432
"69",2007,"Visual novel",13,0.102362204724409
"70",2013,"Game",13,0.0764705882352941
"71",2015,"Game",13,0.0565217391304348
"72",2018,"4-koma manga",13,0.0513833992094862
"73",2019,"Original",13,0.30952380952381
"74",1983,"Manga",12,0.48
"75",2017,"4-koma manga",12,0.0474308300395257
"76",2017,"Other",12,0.0474308300395257
"77",2017,"Web manga",12,0.0474308300395257
"78",2018,"Other",12,0.0474308300395257
"79",2019,"Manga",12,0.285714285714286
"80",1989,"Manga",11,0.5
"81",1992,"Manga",11,0.458333333333333
"82",1981,"Manga",10,0.454545454545455
"83",1983,"Original",10,0.4
"84",1984,"Manga",10,0.37037037037037
"85",2004,"Visual novel",10,0.101010101010101
"86",2005,"Visual novel",10,0.114942528735632
"87",2008,"Visual novel",10,0.0735294117647059
"88",2009,"Visual novel",10,0.0719424460431655
"89",2013,"4-koma manga",10,0.0588235294117647
"90",2015,"Web manga",10,0.0434782608695652
"91",2016,"Visual novel",10,0.037593984962406
"92",2017,"Novel",10,0.0395256916996047
"93",2018,"Novel",10,0.0395256916996047
"94",1977,"Original",9,0.6
"95",1986,"Manga",9,0.45
"96",1987,"Manga",9,0.5625
"97",1988,"Manga",9,0.5625
"98",1997,"Original",9,0.25
"99",2006,"Other",9,0.0647482014388489
"100",2007,"Game",9,0.0708661417322835
"101",2016,"4-koma manga",9,0.0338345864661654
"102",2016,"Novel",9,0.0338345864661654
"103",1981,"Original",8,0.363636363636364
"104",1990,"Original",8,0.444444444444444
"105",1993,"Original",8,0.5
"106",1995,"Original",8,0.285714285714286
"107",2001,"Game",8,0.115942028985507
"108",2006,"Game",8,0.0575539568345324
"109",2007,"Light novel",8,0.062992125984252
"110",2009,"Other",8,0.0575539568345324
"111",2010,"Visual novel",8,0.0707964601769911
"112",2011,"4-koma manga",8,0.0571428571428571
"113",2012,"4-koma manga",8,0.049079754601227
"114",2012,"Game",8,0.049079754601227
"115",2012,"Other",8,0.049079754601227
"116",2012,"Visual novel",8,0.049079754601227
"117",2013,"Visual novel",8,0.0470588235294118
"118",2017,"Visual novel",8,0.0316205533596838
"119",1973,"Manga",7,0.777777777777778
"120",1976,"Original",7,0.583333333333333
"121",1982,"Manga",7,0.466666666666667
"122",1990,"Manga",7,0.388888888888889
"123",1991,"Manga",7,0.35
"124",1992,"Original",7,0.291666666666667
"125",1994,"Original",7,0.304347826086957
"126",1996,"Original",7,0.241379310344828
"127",2005,"Light novel",7,0.0804597701149425
"128",2011,"Game",7,0.05
"129",2012,"Novel",7,0.0429447852760736
"130",2014,"Other",7,0.0338164251207729
"131",2014,"Visual novel",7,0.0338164251207729
"132",1968,"Manga",6,1
"133",1969,"Manga",6,0.666666666666667
"134",1985,"Manga",6,0.461538461538462
"135",1989,"Original",6,0.272727272727273
"136",1991,"Original",6,0.3
"137",1993,"Manga",6,0.375
"138",1999,"Game",6,0.0967741935483871
"139",2007,"Other",6,0.047244094488189
"140",2008,"Game",6,0.0441176470588235
"141",2009,"Game",6,0.0431654676258993
"142",2009,"Novel",6,0.0431654676258993
"143",2010,"4-koma manga",6,0.0530973451327434
"144",2011,"Visual novel",6,0.0428571428571429
"145",2015,"Novel",6,0.0260869565217391
"146",2016,"Card game",6,0.0225563909774436
"147",2016,"Other",6,0.0225563909774436
